
=== Load cell level indicator ===
Reset cause visible to application: unknown.
Waiting for the first HX711 conversion...
Stored calibration loaded from EEPROM.
Calibration factor: 46.606666 counts/g
Stored tare offset loaded: -166704
Normal measurement started.

Controls:
  Hold button on D4 for 3 s = tare
  Serial command 't'    = tare
  Serial command 's'    = save calibration
  Serial command 'x'    = clear calibration
  Serial command 'z'    = clear tare
  Serial command 'c'    = calibrate/confirm
  Serial command 'q'    = cancel current tare/calibration
  Serial command 'd'    = toggle diagnostic capture
 Hold button on D8 for 3 s = start calibration
 Press button on D8 = confirm calibration step
LED operation status:
 All LEDs on = tare in progress
 All LEDs blinking slowly = tare required
 LOW blinking = waiting for empty platform
 MEDIUM blinking = waiting for reference mass
 HIGH blinking = reset-required fault
 LOW/HIGH alternating = HX711 recovery

Provisional levels:
 VERY_LOW: below 100 g, LOW LED blinking
 LOW: 100 to 500 g, LOW LED steady
 MEDIUM: 500 to 1000 g
 HIGH: above 1000 g
Weight: 8.71 g | Level: VERY_LOW
Weight: 4.44 g | Level: VERY_LOW
Weight: 5.86 g | Level: VERY_LOW
Weight: 5.94 g | Level: VERY_LOW
Weight: 6.16 g | Level: VERY_LOW
Weight: 4.06 g | Level: VERY_LOW
Weight: 5.90 g | Level: VERY_LOW
Weight: 5.88 g | Level: VERY_LOW
Weight: 9.68 g | Level: VERY_LOW
Weight: 5.04 g | Level: VERY_LOW
Weight: 5.28 g | Level: VERY_LOW
Weight: -0.47 g | Level: VERY_LOW
Weight: 3.22 g | Level: VERY_LOW
Weight: 2.12 g | Level: VERY_LOW
Weight: 0.79 g | Level: VERY_LOW

Diagnostic capture started.
DATA,sequence,timestamp_ms,raw_counts,tare_offset,net_counts,weight_grams
DATA,0,7770,-167969,-166704,-1265,-27.142040
DATA,1,7854,-167550,-166704,-846,-18.151908
DATA,2,7938,-166623,-166704,81,1.737949
DATA,3,8023,-166473,-166704,231,4.956372
DATA,4,8107,-166831,-166704,-127,-2.724932
DATA,5,8191,-167554,-166704,-850,-18.237733
DATA,6,8275,-167681,-166704,-977,-20.962665
DATA,7,8359,-167194,-166704,-490,-10.513518
DATA,8,8443,-166419,-166704,285,6.115005
DATA,9,8527,-166351,-166704,353,7.574024
DATA,10,8611,-166868,-166704,-164,-3.518810
DATA,11,8695,-167599,-166704,-895,-19.203262
DATA,12,8779,-167809,-166704,-1105,-23.709054
DATA,13,8864,-167337,-166704,-633,-13.581748
DATA,14,8948,-166581,-166704,123,2.639107
DATA,15,9032,-166570,-166704,134,2.875125
DATA,16,9116,-167027,-166704,-323,-6.930339
DATA,17,9200,-167488,-166704,-784,-16.821628
DATA,18,9284,-167377,-166704,-673,-14.439994
DATA,19,9368,-166774,-166704,-70,-1.501931
DATA,20,9452,-166388,-166704,316,6.780146
DATA,21,9536,-166427,-166704,277,5.943356
DATA,22,9620,-166902,-166704,-198,-4.248319
DATA,23,9704,-167318,-166704,-614,-13.174081
DATA,24,9789,-167686,-166704,-982,-21.069946
DATA,25,9873,-167099,-166704,-395,-8.475183
DATA,26,9957,-166326,-166704,378,8.110428
DATA,27,10041,-166338,-166704,366,7.852954
DATA,28,10125,-167038,-166704,-334,-7.166357
DATA,29,10209,-167702,-166704,-998,-21.413246
DATA,30,10293,-167635,-166704,-931,-19.975683
DATA,31,10377,-167015,-166704,-311,-6.672865
DATA,32,10461,-166520,-166704,184,3.947933
DATA,33,10545,-166528,-166704,176,3.776284
