
=== Load cell level indicator ===
Reset cause visible to application: unknown.
Waiting for the first HX711 conversion...
Stored calibration loaded from EEPROM.
Calibration factor: 46.606666 counts/g
Stored tare offset loaded: -166704
Normal measurement started.

Controls:
  Hold button on D4 for 3 s = tare
  Serial command 't'    = tare
  Serial command 's'    = save calibration
  Serial command 'x'    = clear calibration
  Serial command 'z'    = clear tare
  Serial command 'c'    = calibrate/confirm
  Serial command 'q'    = cancel current tare/calibration
  Serial command 'd'    = toggle diagnostic capture
 Hold button on D8 for 3 s = start calibration
 Press button on D8 = confirm calibration step
LED operation status:
 All LEDs on = tare in progress
 All LEDs blinking slowly = tare required
 LOW blinking = waiting for empty platform
 MEDIUM blinking = waiting for reference mass
 HIGH blinking = reset-required fault
 LOW/HIGH alternating = HX711 recovery

Provisional levels:
 VERY_LOW: below 100 g, LOW LED blinking
 LOW: 100 to 500 g, LOW LED steady
 MEDIUM: 500 to 1000 g
 HIGH: above 1000 g
Weight: -2.70 g | Level: VERY_LOW
Weight: -3.75 g | Level: VERY_LOW
Weight: -3.75 g | Level: VERY_LOW
Weight: -1.85 g | Level: VERY_LOW
Weight: -3.39 g | Level: VERY_LOW
Weight: -2.25 g | Level: VERY_LOW
Weight: -4.27 g | Level: VERY_LOW
Weight: -1.54 g | Level: VERY_LOW
Weight: -0.24 g | Level: VERY_LOW
Weight: -13.47 g | Level: VERY_LOW
Weight: -12.87 g | Level: VERY_LOW
Weight: -10.77 g | Level: VERY_LOW
Weight: -6.65 g | Level: VERY_LOW
Weight: -9.08 g | Level: VERY_LOW
Weight: -6.22 g | Level: VERY_LOW
Weight: -5.86 g | Level: VERY_LOW
Weight: -6.16 g | Level: VERY_LOW
Weight: -6.93 g | Level: VERY_LOW
Weight: -4.23 g | Level: VERY_LOW
Weight: -3.13 g | Level: VERY_LOW
Weight: -0.71 g | Level: VERY_LOW
Weight: -2.94 g | Level: VERY_LOW

Diagnostic capture started.
DATA,sequence,timestamp_ms,raw_counts,tare_offset,net_counts,weight_grams
DATA,0,11226,-168707,-166704,-2003,-42.976684
DATA,1,11310,-168532,-166704,-1828,-39.221855
DATA,2,11394,-167456,-166704,-752,-16.135030
DATA,3,11478,-166892,-166704,-188,-4.033758
DATA,4,11562,-166887,-166704,-183,-3.926477
DATA,5,11646,-167765,-166704,-1061,-22.764984
DATA,6,11730,-168590,-166704,-1886,-40.466312
DATA,7,11814,-168633,-166704,-1929,-41.388927
DATA,8,11898,-167574,-166704,-870,-18.666856
DATA,9,11982,-166853,-166704,-149,-3.196968
DATA,10,12066,-166975,-166704,-271,-5.814619
DATA,11,12150,-167873,-166704,-1169,-25.082248
DATA,12,12235,-168460,-166704,-1756,-37.677013
DATA,13,12319,-168117,-166704,-1413,-30.317550
DATA,14,12403,-167187,-166704,-483,-10.363325
DATA,15,12487,-166913,-166704,-209,-4.484337
DATA,16,12571,-166909,-166704,-205,-4.398512
DATA,17,12655,-167555,-166704,-851,-18.259189
DATA,18,12739,-168058,-166704,-1354,-29.051637
DATA,19,12823,-168028,-166704,-1324,-28.407953
DATA,20,12907,-167174,-166704,-470,-10.084395
DATA,21,12991,-166755,-166704,-51,-1.094264
DATA,22,13075,-166991,-166704,-287,-6.157917
DATA,23,13159,-167959,-166704,-1255,-26.927478
DATA,24,13243,-168425,-166704,-1721,-36.926048
DATA,25,13327,-168069,-166704,-1365,-29.287654
DATA,26,13411,-167328,-166704,-624,-13.388643
DATA,27,13496,-166797,-166704,-93,-1.995423
DATA,28,13580,-166961,-166704,-257,-5.514233
DATA,29,13664,-168001,-166704,-1297,-27.828636
DATA,30,13748,-168559,-166704,-1855,-39.801174
DATA,31,13832,-168319,-166704,-1615,-34.651695
DATA,32,13916,-167370,-166704,-666,-14.289802
DATA,33,14000,-166799,-166704,-95,-2.038335
DATA,34,14084,-166971,-166704,-267,-5.728794
DATA,35,14168,-168051,-166704,-1347,-28.901445
DATA,36,14252,-168556,-166704,-1852,-39.736804
DATA,37,14336,-168314,-166704,-1610,-34.544414
