
=== Load cell level indicator ===
Reset cause visible to application: unknown.
Waiting for the first HX711 conversion...
Stored calibration loaded from EEPROM.
Calibration factor: 46.606666 counts/g
Stored tare offset loaded: -166704
Normal measurement started.

Controls:
  Hold button on D4 for 3 s = tare
  Serial command 't'    = tare
  Serial command 's'    = save calibration
  Serial command 'x'    = clear calibration
  Serial command 'z'    = clear tare
  Serial command 'c'    = calibrate/confirm
  Serial command 'q'    = cancel current tare/calibration
  Serial command 'd'    = toggle diagnostic capture
 Hold button on D8 for 3 s = start calibration
 Press button on D8 = confirm calibration step
LED operation status:
 All LEDs on = tare in progress
 All LEDs blinking slowly = tare required
 LOW blinking = waiting for empty platform
 MEDIUM blinking = waiting for reference mass
 HIGH blinking = reset-required fault
 LOW/HIGH alternating = HX711 recovery

Provisional levels:
 VERY_LOW: below 100 g, LOW LED blinking
 LOW: 100 to 500 g, LOW LED steady
 MEDIUM: 500 to 1000 g
 HIGH: above 1000 g
Weight: 5.36 g | Level: VERY_LOW
Weight: 8.54 g | Level: VERY_LOW
Weight: 2.15 g | Level: VERY_LOW
Weight: 7.79 g | Level: VERY_LOW
Weight: 7.45 g | Level: VERY_LOW
Weight: 4.51 g | Level: VERY_LOW
Weight: 3.15 g | Level: VERY_LOW
Weight: 4.55 g | Level: VERY_LOW
Weight: 5.96 g | Level: VERY_LOW
Weight: 0.90 g | Level: VERY_LOW

Diagnostic capture started.
DATA,sequence,timestamp_ms,raw_counts,tare_offset,net_counts,weight_grams
DATA,0,5173,-166397,-166704,307,6.587040
DATA,1,5258,-166612,-166704,92,1.973966
DATA,2,5342,-166527,-166704,177,3.797740
DATA,3,5426,-166585,-166704,119,2.553283
DATA,4,5510,-166662,-166704,42,0.901159
DATA,5,5594,-166628,-166704,76,1.630668
DATA,6,5678,-166530,-166704,174,3.733371
DATA,7,5762,-166480,-166704,224,4.806180
DATA,8,5846,-166464,-166704,240,5.149478
DATA,9,5930,-166408,-166704,296,6.351023
DATA,10,6014,-166444,-166704,260,5.578601
DATA,11,6099,-166536,-166704,168,3.604635
DATA,12,6183,-166436,-166704,268,5.750250
DATA,13,6267,-166460,-166704,244,5.235302
DATA,14,6351,-166490,-166704,214,4.591618
DATA,15,6435,-166421,-166704,283,6.072093
DATA,16,6519,-166579,-166704,125,2.682020
DATA,17,6603,-166535,-166704,169,3.626091
DATA,18,6687,-166663,-166704,41,0.879702
DATA,19,6771,-166529,-166704,175,3.754828
DATA,20,6855,-166488,-166704,216,4.634530
DATA,21,6940,-166410,-166704,294,6.308110
DATA,22,7024,-166433,-166704,271,5.814619
DATA,23,7108,-166382,-166704,322,6.908883
DATA,24,7192,-166606,-166704,98,2.102704
DATA,25,7276,-166544,-166704,160,3.432985
DATA,26,7360,-166585,-166704,119,2.553283
DATA,27,7444,-166611,-166704,93,1.995423
DATA,28,7528,-166463,-166704,241,5.170934
DATA,29,7612,-166363,-166704,341,7.316550
DATA,30,7696,-166548,-166704,156,3.347161
DATA,31,7781,-166431,-166704,273,5.857531
DATA,32,7865,-166424,-166704,280,6.007724
DATA,33,7949,-166438,-166704,266,5.707338
DATA,34,8033,-166426,-166704,278,5.964812
DATA,35,8117,-166555,-166704,149,3.196968
DATA,36,8201,-166595,-166704,109,2.338721
DATA,37,8285,-166497,-166704,207,4.441425
DATA,38,8369,-166476,-166704,228,4.892004
DATA,39,8453,-166327,-166704,377,8.088972
DATA,40,8537,-166377,-166704,327,7.016164
DATA,41,8622,-166462,-166704,242,5.192390
DATA,42,8706,-166474,-166704,230,4.934916
DATA,43,8790,-166564,-166704,140,3.003862
DATA,44,8874,-166571,-166704,133,2.853669
DATA,45,8958,-166481,-166704,223,4.784723
DATA,46,9042,-166550,-166704,154,3.304248
DATA,47,9126,-166478,-166704,226,4.849092
DATA,48,9210,-166328,-166704,376,8.067516
DATA,49,9294,-166345,-166704,359,7.702761
DATA,50,9378,-166419,-166704,285,6.115005
DATA,51,9463,-166384,-166704,320,6.865971
DATA,52,9547,-166449,-166704,255,5.471320
DATA,53,9631,-166478,-166704,226,4.849092
DATA,54,9715,-166502,-166704,202,4.334144
DATA,55,9799,-166408,-166704,296,6.351023
DATA,56,9883,-166472,-166704,232,4.977828
DATA,57,9967,-166575,-166704,129,2.767844
DATA,58,10051,-166511,-166704,193,4.141038
DATA,59,10135,-166368,-166704,336,7.209269
DATA,60,10220,-166285,-166704,419,8.990131
DATA,61,10304,-166300,-166704,404,8.668289
DATA,62,10388,-166300,-166704,404,8.668289
DATA,63,10472,-166425,-166704,279,5.986268
DATA,64,10556,-166396,-166704,308,6.608497
DATA,65,10640,-166332,-166704,372,7.981691
DATA,66,10724,-166384,-166704,320,6.865971
DATA,67,10808,-166390,-166704,314,6.737234
DATA,68,10892,-166552,-166704,152,3.261336
DATA,69,10976,-166506,-166704,198,4.248319
DATA,70,11061,-166532,-166704,172,3.690459
DATA,71,11145,-166417,-166704,287,6.157917
DATA,72,11229,-166461,-166704,243,5.213846
DATA,73,11313,-166514,-166704,190,4.076670
DATA,74,11397,-166576,-166704,128,2.746388
DATA,75,11481,-166519,-166704,185,3.969389
DATA,76,11565,-166540,-166704,164,3.518810
DATA,77,11649,-166409,-166704,295,6.329566
DATA,78,11733,-166309,-166704,395,8.475183
DATA,79,11817,-166390,-166704,314,6.737234
DATA,80,11901,-166367,-166704,337,7.230725
DATA,81,11986,-166390,-166704,314,6.737234
DATA,82,12070,-166482,-166704,222,4.763267
DATA,83,12154,-166532,-166704,172,3.690459
DATA,84,12238,-166450,-166704,254,5.449864
DATA,85,12322,-166521,-166704,183,3.926477
DATA,86,12406,-166526,-166704,178,3.819196
DATA,87,12490,-166423,-166704,281,6.029181
DATA,88,12574,-166326,-166704,378,8.110428
DATA,89,12658,-166356,-166704,348,7.466743
DATA,90,12743,-166467,-166704,237,5.085109
DATA,91,12827,-166462,-166704,242,5.192390
DATA,92,12911,-166377,-166704,327,7.016164
DATA,93,12995,-166410,-166704,294,6.308110
DATA,94,13079,-166424,-166704,280,6.007724
DATA,95,13163,-166515,-166704,189,4.055214
DATA,96,13247,-166468,-166704,236,5.063653
