
=== Load cell level indicator ===
Reset cause visible to application: unknown.
Waiting for the first HX711 conversion...
Stored calibration loaded from EEPROM.
Calibration factor: 46.606666 counts/g
Stored tare offset loaded: -166704
Normal measurement started.

Controls:
  Hold button on D4 for 3 s = tare
  Serial command 't'    = tare
  Serial command 's'    = save calibration
  Serial command 'x'    = clear calibration
  Serial command 'z'    = clear tare
  Serial command 'c'    = calibrate/confirm
  Serial command 'q'    = cancel current tare/calibration
  Serial command 'd'    = toggle diagnostic capture
 Hold button on D8 for 3 s = start calibration
 Press button on D8 = confirm calibration step
LED operation status:
 All LEDs on = tare in progress
 All LEDs blinking slowly = tare required
 LOW blinking = waiting for empty platform
 MEDIUM blinking = waiting for reference mass
 HIGH blinking = reset-required fault
 LOW/HIGH alternating = HX711 recovery

Provisional levels:
 VERY_LOW: below 100 g, LOW LED blinking
 LOW: 100 to 500 g, LOW LED steady
 MEDIUM: 500 to 1000 g
 HIGH: above 1000 g
Weight: 26.22 g | Level: VERY_LOW
Weight: 22.64 g | Level: VERY_LOW
Weight: 33.32 g | Level: VERY_LOW
Weight: 27.91 g | Level: VERY_LOW
Weight: 10.34 g | Level: VERY_LOW
Weight: 26.22 g | Level: VERY_LOW
Weight: 26.18 g | Level: VERY_LOW
Weight: 26.46 g | Level: VERY_LOW
Weight: 24.40 g | Level: VERY_LOW
Weight: 21.11 g | Level: VERY_LOW
Weight: 20.25 g | Level: VERY_LOW
Weight: 25.92 g | Level: VERY_LOW
Weight: 27.16 g | Level: VERY_LOW
Weight: 25.81 g | Level: VERY_LOW
Weight: 23.24 g | Level: VERY_LOW
Weight: 23.45 g | Level: VERY_LOW
Weight: 34.74 g | Level: VERY_LOW
Weight: 21.71 g | Level: VERY_LOW
Weight: 23.69 g | Level: VERY_LOW
Weight: 36.48 g | Level: VERY_LOW
Weight: 19.55 g | Level: VERY_LOW
Weight: 23.56 g | Level: VERY_LOW
Weight: 25.49 g | Level: VERY_LOW
Weight: 20.45 g | Level: VERY_LOW
Weight: 25.02 g | Level: VERY_LOW
Weight: 23.71 g | Level: VERY_LOW
Weight: 28.09 g | Level: VERY_LOW
Weight: 26.71 g | Level: VERY_LOW
Weight: 27.66 g | Level: VERY_LOW
Weight: 20.62 g | Level: VERY_LOW
Weight: 24.16 g | Level: VERY_LOW
Weight: 26.09 g | Level: VERY_LOW
Weight: 28.56 g | Level: VERY_LOW
Weight: 23.22 g | Level: VERY_LOW
Weight: 33.11 g | Level: VERY_LOW
Weight: 29.01 g | Level: VERY_LOW
Weight: 27.91 g | Level: VERY_LOW
Weight: 29.14 g | Level: VERY_LOW
Weight: 21.65 g | Level: VERY_LOW
Weight: 33.58 g | Level: VERY_LOW
Weight: 26.52 g | Level: VERY_LOW
Weight: 28.04 g | Level: VERY_LOW
Weight: 25.98 g | Level: VERY_LOW
Weight: 26.54 g | Level: VERY_LOW
Weight: 28.39 g | Level: VERY_LOW
Weight: 22.96 g | Level: VERY_LOW
Weight: 23.34 g | Level: VERY_LOW
Weight: 28.26 g | Level: VERY_LOW
Weight: 22.16 g | Level: VERY_LOW
Weight: 22.44 g | Level: VERY_LOW
Weight: 22.44 g | Level: VERY_LOW
Weight: 20.25 g | Level: VERY_LOW
Weight: 20.81 g | Level: VERY_LOW
Weight: 31.41 g | Level: VERY_LOW
Weight: 26.46 g | Level: VERY_LOW
Weight: 27.14 g | Level: VERY_LOW
Weight: 24.20 g | Level: VERY_LOW
Weight: 26.50 g | Level: VERY_LOW
Weight: 27.36 g | Level: VERY_LOW
Weight: 25.83 g | Level: VERY_LOW
Weight: 25.79 g | Level: VERY_LOW
Weight: 24.80 g | Level: VERY_LOW
Weight: 20.08 g | Level: VERY_LOW
Weight: 28.24 g | Level: VERY_LOW
Weight: 28.79 g | Level: VERY_LOW
Weight: 19.93 g | Level: VERY_LOW
Weight: 20.51 g | Level: VERY_LOW
Weight: 18.97 g | Level: VERY_LOW
Weight: 29.31 g | Level: VERY_LOW
Weight: 26.52 g | Level: VERY_LOW
Weight: 24.59 g | Level: VERY_LOW
Weight: 27.25 g | Level: VERY_LOW
Weight: 22.25 g | Level: VERY_LOW
Weight: 23.67 g | Level: VERY_LOW
Weight: 22.55 g | Level: VERY_LOW
Weight: 23.95 g | Level: VERY_LOW
Weight: 19.42 g | Level: VERY_LOW
Weight: 23.34 g | Level: VERY_LOW
Weight: 20.98 g | Level: VERY_LOW
Weight: 29.91 g | Level: VERY_LOW
Weight: 21.80 g | Level: VERY_LOW
Weight: 30.60 g | Level: VERY_LOW
Weight: 22.85 g | Level: VERY_LOW
Weight: 17.06 g | Level: VERY_LOW
Weight: 18.69 g | Level: VERY_LOW
Weight: 28.17 g | Level: VERY_LOW
Weight: 30.64 g | Level: VERY_LOW
Weight: 29.39 g | Level: VERY_LOW
Weight: 29.61 g | Level: VERY_LOW
Weight: 22.87 g | Level: VERY_LOW
Weight: 27.57 g | Level: VERY_LOW
Weight: 26.97 g | Level: VERY_LOW
Weight: 27.01 g | Level: VERY_LOW
Weight: 27.74 g | Level: VERY_LOW
Weight: 28.26 g | Level: VERY_LOW
Weight: 31.26 g | Level: VERY_LOW
Weight: 27.23 g | Level: VERY_LOW
Weight: 27.55 g | Level: VERY_LOW
Weight: 24.59 g | Level: VERY_LOW
Weight: 29.50 g | Level: VERY_LOW
Weight: 25.58 g | Level: VERY_LOW
Weight: 23.28 g | Level: VERY_LOW
Weight: 28.47 g | Level: VERY_LOW
Weight: 22.59 g | Level: VERY_LOW
Weight: 26.76 g | Level: VERY_LOW
Weight: 22.31 g | Level: VERY_LOW
Weight: 18.80 g | Level: VERY_LOW
Weight: 27.81 g | Level: VERY_LOW
Weight: 21.97 g | Level: VERY_LOW
Weight: 19.89 g | Level: VERY_LOW
Weight: 14.25 g | Level: VERY_LOW
Weight: 21.37 g | Level: VERY_LOW
Weight: 24.70 g | Level: VERY_LOW
Weight: 22.08 g | Level: VERY_LOW
Weight: 28.71 g | Level: VERY_LOW
Weight: 18.65 g | Level: VERY_LOW
Weight: 24.52 g | Level: VERY_LOW
Weight: 17.36 g | Level: VERY_LOW
Weight: 27.98 g | Level: VERY_LOW
Weight: 22.76 g | Level: VERY_LOW
Weight: 31.30 g | Level: VERY_LOW
Weight: 20.32 g | Level: VERY_LOW
Weight: 21.80 g | Level: VERY_LOW
Weight: 23.77 g | Level: VERY_LOW
Weight: 26.26 g | Level: VERY_LOW
Weight: 22.72 g | Level: VERY_LOW
Weight: 23.92 g | Level: VERY_LOW
Weight: 20.04 g | Level: VERY_LOW
Weight: 26.16 g | Level: VERY_LOW
Weight: 28.37 g | Level: VERY_LOW
Weight: 27.74 g | Level: VERY_LOW
Weight: 25.21 g | Level: VERY_LOW
Weight: 24.97 g | Level: VERY_LOW
